Bin,Observed-Other,Percentage-Other,Percent-O-Cleaned,Observed-Smith,Expected-Smith,Percentage-Smith,Exp-S-Cleaned,Percent-S-Cleaned
Total,11787,1,1,727,727,1,727,1
A,1883,0.1003648087,0.1,111,72.96521592,0.1526822558,73,0.15
A-,2339,0.1984389582,0.19,99,144.2651226,0.136176066,144,0.14
B+,1876,0.1591583948,0.16,63,115.708153,0.08665749656,116,0.09
B,1706,0.1447357258,0.14,47,105.2228727,0.06464924347,105,0.06
B-,1546,0.1311614491,0.13,67,95.3543735,0.09215955983,95,0.09
C+,734,0.06227199457,0.06,54,45.27174005,0.0742778542,45,0.07
C,542,0.04598286248,0.05,100,33.42954102,0.1375515818,33,0.14
C-,325,0.02757274964,0.03,56,20.04538899,0.07702888583,20,0.08
D+,100,0.008483922966,0.01,29,6.167811996,0.03988995873,6,0.04
D,76,0.006447781454,0.01,20,4.687537117,0.02751031637,4,0.03
D-,50,0.004241961483,0.01,24,3.083905998,0.03301237964,3,0.03
F,170,0.01442266904,0.01,43,10.48528039,0.05914718019,10,0.06
W,341,0.02893017731,0.02,15,21.0322389,0.02063273728,21,0.02